model	variant	price	Audio System Remote Control	Max Power	Remote Vehicle Ignition Start/Stop	Power Steering	Digital Clock	0-100Kmph (Tested)	Tow Away Alert	Anti-Pinch Power Windows	Speed Assist System	Cigarette Lighter	Braking (100-0kmph)	Integrated Antenna	Live Location	Valet Mode	Rear Window Wiper	Rear Window Sunblind	Lane Departure Warning	Lane Departure Prevention Assist	No. of Cylinders	Rear Cross Traffic Collision-Avoidance Assist	Height	Anti-Theft Device	Accessory Power Outlet	Leading Vehicle Departure Alert	Smart Access Card Entry	Wheel Size	Departure Angle	Valves Per Cylinder	Apple CarPlay	Alloy Wheel Size Rear	Hill Descent Control	Wheel Covers	Approach Angle	Sun Roof	Electric Adjustable Seats	Front Tread	Gear Shift Indicator	Power Windows	Petrol Fuel Tank Capacity	Emission Norm Compliance	Live Weather	Roof Rails	Drive Type	Outside Rear View Mirror Turn Indicators	Rear Seat Headrest	Rear Entertainment System	Tyre Size	Usb Ports	Fabric Upholstery	Remote Immobiliser	Electronic Brakeforce Distribution (EBD)	Power Antenna	Bluetooth Connectivity	Voice Commands	Tachometer	Speed Sensing Auto Door Lock	Connectivity	Engine Start/Stop Button	Roof Carrier	Acceleration	Active noise cancellation	Trunk Light	Heads-Up Display (HUD)	Global NCAP Child Safety Rating	Diesel Mileage ARAI	Inbuilt APPs	Wireless Phone Charging	Electronic Multi-Tripmeter	Kerb Weight	Rear Reading Lamp	Foldable Rear Seat	Digital Cluster	Navigation System	Brake Assist	E-Manual	Turning Radius	Digital Odometer	Driver Airbag	Leather Wrapped Steering Wheel	Internal Storage	Digital Car Key	Cooled Glovebox	Automatic Headlamps	Remote AC On/Off	Voice assisted sunroof	Rear Cross Traffic Alert	Navigation with Live Traffic	CNG Mileage ARAI	Headlamp Washers	No. of Airbags	KeyLess Entry	Send POI to Vehicle From App	Rear Window Defogger	ISOFIX Child Seat Mounts	Chrome Grille	Tweeters	Blind Spot Monitor	Regenerative Braking	Steering Gear Type	Adjustable Steering	Side Airbag	Insurance Expiry	E-Call & I-Call	Side Airbag-Rear	Tailgate Ajar Warning	Driving Experience Control Eco	Curtain Airbag	SOS Button	Cruise Control	Follow Me Home Headlamps	Xenon Headlamps	Central Console Armrest	Heated Outside Rear View Mirror	Passenger Airbag	Braking (80-0 kmph)	Google / Alexa Connectivity	Air Quality Control	Oncoming Lane Mitigation	Remote Fuel Lid Opener	Break-over Angle	Top Speed	PUC Expiry	Steering Type	Hill Assist	Transmission Type	Sunroof	Anti-Theft Alarm	Rear Suspension	Forward Collision Warning	Lumbar Support	Cup Holders	Vanity Mirror	Speakers	Radio	Impact Sensing Auto Door Unlock	Lane Keep Assist	Glove Box light	Diesel Fuel Tank Capacity	Outside Temperature Display	LED Taillights	LED Fog Lamps	Door Ajar Warning	Boot Space Rear Seat Folding	Rear Curtain	Heater	Tyre Pressure Monitoring System (TPMS)	Real-Time Vehicle Tracking	Drive Modes	Road Departure Mitigation System	Petrol Highway Mileage	Child Safety Locks	Displacement	Steering Column	Lane Change Indicator	Dual Tone Dashboard	Remote Boot Open	Front Suspension	Rear Tread	Fog Lights - Rear	Digital Cluster Size	Fuel Type	RSA	Glove Box	Smoke Headlamps	Rain Sensing Wiper	Cornering Headlamps	Puddle Lamps	Rear Window Washer	Leather Seats	No. of Doors	Rear Spoiler	Max Torque	Idle Start-Stop System	Traffic Sign Recognition	Drive Mode Types	Unauthorised Vehicle entry	Touchscreen Size	Gearbox	Subwoofer	Adjustable Headlamps	Ground Clearance Unladen	Air Conditioner	LED DRLs	Inbuilt Assistant	Antenna	Low Fuel Warning Light	Speed Alert	CNG Fuel Tank Capacity	Pretensioners & Force Limiter Seatbelts	Luggage Hook & Net	Adaptive High Beam Assist	Over Speeding Alert	Halogen Headlamps	Smartwatch App	Tinted Glass	Tyre Type	Integrated 2DIN Audio	Blind Spot Camera	Length	Central Locking	Boot Space	Touchscreen	LED Headlamps	SOS / Emergency Assistance	Remote Vehicle Status Check	Folding Table in The Rear	Remote Door Lock/Unlock	Leather wrap gear-shift selector	Adaptive Cruise Control	Anti-lock Braking System (ABS)	Traction Control	Paddle Shifters	Geo-fence Alert	Outside Rear View Mirror (ORVM)	Adjustable Headrest	Blind Spot Collision Avoidance Assist	Turbo Charger	360 View Camera	Fuel Supply System	Automatic Emergency Braking	Remote Trunk Opener	Rear Seat Centre Arm Rest	Rear Windscreen Sunblind	Chrome Garnish	Gross Weight	Fog Lights - Front	Rear AC Vents	Height Adjustable Driver Seat	Diesel Highway Mileage	0-100kmph	Autonomous Parking	Hands-Free Tailgate	Over the Air (OTA) Updates	No. of Speakers	Braking (60-0 kmph)	Seat Belt Warning	Boot Opening	Automatic Climate Control	Electronic Stability Control (ESC)	Rear Camera	Ventilated Seats	Engine Immobilizer	Alloy Wheel Size Front	Petrol Mileage ARAI	Side Stepper	Rear Brake Type	Engine Type	Global NCAP Safety Rating	Cornering Foglamps	Knee Airbags	Height Adjustable Front Seat Belts	Wheel Base	Wi-Fi Connectivity	Front Brake Type	Additional Features	Day & Night Rear View Mirror	Android Auto	Shock Absorbers Type	USB & Auxiliary input	Parking Sensors	USB Charger	Driver Attention Warning	Projector Headlamps	Upholstery	Width	Alloy Wheels	Seating Capacity	Fog Lights	Battery Saver
Maruti Ignis Alpha	Maruti Ignis Alpha	761000	None	81.80bhp@6000rpm	None	True	None	None	None	None	None	None	None	True	None	None	True	None	None	None	4	None	1595 mm	True	True	None	None	None	None	4	None	15 Inch	None	False	None	None	None	None	True	Front &amp; Rear	32 Litres	BS VI 2.0	None	True	FWD	True	None	None	175/65 R15	True	None	None	True	None	True	True	True	True	None	True	None	None	None	True	None	None	None	None	None	None	840-865 kg	None	60:40 Split	None	None	None	None	4.7 m	None	True	None	None	None	None	None	None	None	None	True	None	None	2	True	None	True	True	None	2	None	None	None	True	None	None	None	None	None	None	None	None	None	None	None	None	None	True	None	None	None	None	None	None	None	None	Electric	False	Manual	None	True	Rear twist beam	None	None	Front Only	True	Front &amp; Rear	True	None	None	None	None	None	None	None	None	None	None	True	None	None	None	None	None	True	1197 cc	Tilt	None	True	None	MacPherson Strut suspension	None	None	None	Petrol	None	True	None	None	None	True	None	None	5	True	113Nm@4200rpm	None	None	None	None	7 Inch	5-Speed	None	True	None	True	True	None	None	None	True	None	Driver and Passenger	None	None	True	False	None	None	Tubeless, Radial	True	None	3700 mm	True	260 Litres	True	None	None	None	None	None	None	None	True	None	None	None	Powered &amp; Folding	True	None	None	None	None	None	None	None	None	None	None	None	None	True	None	None	None	None	None	4	None	True	Manual	True	True	With Guidedlines	None	True	15 Inch	20.89 kmpl	None	Drum	VVT	None	None	None	None	2435 mm	None	Disc	Body Coloured Door Handles,Body Coloured ORVMs,Door Sash Black-out,Fender Arch Moulding,Side Sill Moulding,Front Grille With Chrome Accents,Front Wiper and Washer,High-mount LED Stop Lamp,	True	None	None	None	Rear	None	None	True	Fabric	1690 mm	True	5	Front	None
Tata Nexon Pure S Diesel	Tata Nexon Pure S Diesel	1129990	None	113.31bhp@3750rpm	False	True	None	None	None	None	None	None	None	True	None	None	False	None	None	None	4	None	1620 mm	True	True	None	None	16 Inch	None	4	True	None	False	True	None	None	None	None	None	None	None	BS VI 2.0	False	True	FWD	None	True	None	195/60 R16	True	None	None	True	None	True	True	True	False	Android Auto, Apple CarPlay	False	None	None	None	None	None	None	23.23 kmpl	None	False	None	None	True	Bench Folding	Semi	None	None	None	5.1 m	True	True	False	None	None	False	True	False	None	None	None	None	None	6	True	None	False	True	None	None	False	None	None	True	True	None	False	False	None	None	True	True	False	True	None	False	None	True	None	None	False	None	None	None	180  kmph	None	Electric	True	Manual	Single Pane	True	Rear twist beam	None	None	None	True	Front &amp; Rear	True	True	None	None	44 Litres	None	True	False	True	None	None	True	False	None	3	None	None	True	1497 cc	Tilt and Collapsible	None	None	None	MacPherson Strut suspension	None	None	4	Diesel	True	True	None	True	None	None	False	None	5	True	260Nm@1500-2750rpm	None	None	None	None	7 Inch	6-Speed	None	True	208 mm	True	True	None	Shark Fin	None	True	None	Driver and Passenger	None	None	None	None	None	None	Radial Tubeless	True	None	3995 mm	True	382 Litres	True	True	None	False	None	None	None	None	True	True	False	None	None	True	None	True	False	None	None	None	None	None	None	None	None	True	False	None	None	None	None	False	4	None	True	Manual	False	True	False	False	True	None	None	None	Drum	1.5L Turbocharged Revotorq	None	False	None	False	2498 mm	None	Disc	N/A	True	True	None	None	Rear	None	None	None	Fabric	1804 mm	False	5	False	None
Hyundai Venue S Opt	Hyundai Venue S Opt	988800	None	82bhp@6000rpm	False	True	None	None	None	None	None	None	None	True	None	None	False	None	False	None	4	None	1617 mm	None	True	False	None	15 Inch	None	4	True	None	None	True	None	None	None	None	None	Front &amp; Rear	45 Litres	BS VI 2.0	None	True	FWD	True	Adjustable	None	195/65 R15	True	None	None	True	None	True	True	True	True	None	False	None	None	None	False	None	None	None	No	False	None	None	None	60:40 Split	True	None	True	None	None	None	True	False	None	None	False	True	None	No	None	None	None	None	6	True	None	True	True	None	2	None	None	None	Height only	True	None	None	False	None	None	True	False	False	True	None	With Storage	None	True	None	False	False	None	None	None	165  kmph	None	Electric	True	Manual	False	False	Rear twist beam	False	None	Front Only	None	Front &amp; Rear	True	True	False	None	None	None	False	None	None	None	None	True	True	None	False	None	18 kmpl	None	1197 cc	Tilt	True	None	None	MacPherson Strut suspension	None	None	No	Petrol	False	True	None	None	False	False	False	None	5	None	113.8Nm@4000rpm	True	None	No	None	8 inch	5-Speed	None	True	None	True	False	None	Shark Fin	None	True	None	Driver and Passenger	True	False	True	True	None	None	Tubeless Radial	None	None	3995 mm	True	350 Litres	True	False	None	None	None	None	False	None	True	None	False	None	Powered	True	None	No	None	MPi	None	None	None	None	None	None	None	True	True	None	None	None	None	False	4	None	True	None	False	True	With Guidedlines	None	True	None	20.36 kmpl	None	Drum	1.2 l Kappa	None	None	None	None	2500 mm	None	Disc	Multiple regional language,Wireless Android Auto &amp; Apple Carplay	True	True	None	None	Rear	Front &amp; Rear	False	False	Fabric	1770 mm	False	5	None	True
Maruti Swift VXi Opt	Maruti Swift VXi Opt	756500	None	80.46bhp@5700rpm	None	True	None	None	True	Driver's Window	None	None	None	None	True	True	False	None	None	None	3	None	1520 mm	True	True	None	None	14 Inch	None	4	True	None	None	True	None	False	None	None	True	Front &amp; Rear	37 Litres	BS VI 2.0	None	None	FWD	True	None	None	165/80 R14	True	None	None	True	None	True	True	True	True	None	True	None	None	None	False	None	None	None	None	False	None	920 kg	True	Bench Folding	True	None	None	None	4.8 m	None	True	False	None	None	None	False	None	None	None	None	None	None	6	True	None	True	True	None	None	None	None	None	Height only	True	None	None	False	None	None	True	None	False	False	None	None	None	True	None	True	None	None	None	None	None	None	Electric	True	Manual	None	True	Rear twist beam	None	None	Front Only	True	Front &amp; Rear	True	None	None	None	None	None	True	False	True	None	None	True	None	True	None	None	None	None	1197 cc	Tilt	None	None	None	MacPherson Strut suspension	None	None	None	Petrol	None	True	None	None	None	None	False	None	5	None	111.7Nm@4300rpm	None	None	None	None	7 inch	5-Speed	None	True	163 mm	True	False	None	Micropole	None	True	None	Driver and Passenger	True	None	True	True	True	None	Radial Tubeless	None	None	3860 mm	True	265 Litres	True	False	None	None	None	True	None	None	True	None	None	True	Powered	True	None	No	None	None	None	None	None	None	None	1355 kg	None	False	False	None	None	None	None	True	4	None	True	Electronic	False	True	False	None	True	None	24.8 kmpl	None	Drum	Z12E	4 Star	None	None	None	2450 mm	None	Ventilated Disc	"Wireless Android Auto &amp; Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)"	True	True	None	None	Rear	Front	True	False	Fabric	1735 mm	False	5	False	None
Maruti Wagon R ZXI Plus Dual Tone	Maruti Wagon R ZXI Plus Dual Tone	687500	None	88.50bhp@6000rpm	None	True	None	None	None	None	None	None	None	True	None	None	True	None	None	None	4	None	1675 mm	True	True	None	None	None	None	4	True	14 Inch	None	False	None	None	None	None	True	Front &amp; Rear	32 Litres	BS VI 2.0	None	None	FWD	True	None	None	165/70 R14	True	None	None	True	None	True	None	True	True	Android Auto, Apple CarPlay	None	None	None	None	None	None	None	None	None	None	None	845 kg	None	60:40 Split	None	None	None	None	4.7 m	None	True	None	None	None	None	None	None	None	None	None	None	None	2	True	None	None	None	None	None	None	None	Rack & Pinion	True	None	None	None	None	None	None	None	None	None	None	None	None	None	True	None	None	None	None	None	None	None	None	None	False	Manual	None	True	Rear twist beam	None	None	None	True	Front &amp; Rear	True	None	None	None	None	None	None	None	True	None	None	True	None	None	None	None	None	True	1197 cc	Tilt	None	True	None	MacPherson Strut suspension	None	None	None	Petrol	None	True	None	None	None	None	True	None	5	None	113Nm@4400rpm	True	None	None	None	7 Inch	5-Speed	None	True	None	True	None	None	Roof Antenna	None	True	None	Driver and Passenger	True	None	None	True	None	None	Radial &amp; Tubeless	True	None	3655 mm	True	341 Litres	True	None	None	None	None	None	None	None	True	None	None	None	Powered &amp; Folding	None	None	None	None	None	None	None	None	None	None	1340 kg	None	None	None	None	None	None	None	None	4	None	True	Manual	None	True	None	None	True	14 Inch	23.56 kmpl	None	Drum	K12N	None	None	None	None	2435 mm	None	Disc	Smartplay Studio With Smartphone Navigation	True	True	None	None	Rear	None	None	None	None	1620 mm	True	5	Front	None
Hyundai Venue E	Hyundai Venue E	794100	None	82bhp@6000rpm	False	True	None	None	None	None	None	None	None	False	None	None	False	None	False	None	4	None	1617 mm	None	True	False	None	15 Inch	None	4	False	None	None	True	None	None	None	None	None	Front Only	45 Litres	BS VI 2.0	None	False	FWD	False	Adjustable	None	195/65 R15	True	None	None	True	None	False	False	True	True	None	False	None	None	None	False	None	None	None	No	False	None	None	None	60:40 Split	True	None	False	None	None	None	True	False	None	None	False	False	None	No	None	None	None	None	6	False	None	False	True	None	None	None	None	None	Height only	True	None	None	False	None	None	True	False	False	False	None	False	None	True	None	False	False	None	None	None	165  kmph	None	Electric	True	Manual	False	False	Rear twist beam	False	None	Front Only	None	False	False	True	False	None	None	None	False	None	None	None	None	True	False	None	False	None	18 kmpl	None	1197 cc	Tilt	True	None	None	MacPherson Strut suspension	None	None	No	Petrol	False	True	None	None	False	False	False	None	5	None	113.8Nm@4000rpm	No	None	No	None	inch	5-Speed	None	True	None	True	False	None	No	None	True	None	Driver and Passenger	True	False	True	True	None	None	Tubeless Radial	None	None	3995 mm	True	350 Litres	False	False	None	None	None	None	False	None	True	None	False	None	Manual	True	None	No	None	MPi	None	None	None	None	None	None	None	False	False	None	None	None	None	False	None	None	True	None	False	True	False	None	True	None	20.36 kmpl	None	Drum	1.2 l Kappa	None	None	None	None	2500 mm	None	Disc	Front grille Dark Chrome,Front and rear bumpers Body Coloured,Outside door handles Body Coloured,Front &amp; rear skid plate,Intermittent variable front wiper	True	False	None	None	Rear	Front	False	False	Fabric	1770 mm	False	5	None	True
Nissan Magnite N Connecta	Nissan Magnite N Connecta	786000	None	71bhp@6250rpm	True	True	None	None	None	Driver's Window	None	None	None	None	None	None	True	None	None	None	3	None	1572 mm	True	True	None	None	None	None	4	True	16 Inch	None	False	None	None	None	None	None	Front &amp; Rear	40 Litres	BS VI 2.0	None	True	FWD	True	Adjustable	None	195/60 R16	True	None	None	True	None	True	True	True	True	None	True	None	None	None	True	None	None	None	None	False	None	1019 kg	True	60:40 Split	True	None	True	None	5 m	None	True	False	None	None	False	True	None	None	None	None	None	None	6	True	None	True	True	None	2	None	No	None	Height only	True	None	None	False	None	None	True	None	False	None	None	With Storage	None	True	None	None	True	None	None	None	None	None	Electric	True	Manual	None	True	Rear twist beam	None	None	Front &amp; Rear	None	Front &amp; Rear	True	True	None	True	None	None	False	False	True	690 Litres	None	True	True	None	None	None	None	True	999 cc	Tilt	None	None	None	MacPherson Strut suspension	None	None	7	Petrol	None	True	None	None	None	None	True	None	5	True	96Nm@3400 -3600rpm	None	None	None	None	8 inch	5-Speed	None	True	205 mm	True	True	None	Shark Fin	None	True	None	Driver and Passenger	True	None	None	False	None	None	Tubeless Radial	None	None	3994 mm	True	336 Litres	True	True	None	None	None	None	None	None	True	True	None	None	Powered &amp; Folding	True	None	No	False	None	None	None	True	None	None	1402 kg	None	True	True	None	None	None	False	None	4	None	True	Manual	True	None	With Guidedlines	None	True	16 Inch	19.4 kmpl	None	Drum	1.0 B4D	None	None	None	None	2500 mm	True	Disc	3D sound by ARKAMYS	True	True	Double Acting	None	Rear	Front &amp; Rear	None	False	Fabric	1758 mm	True	5	False	None
Maruti FRONX Alpha Turbo	Maruti FRONX Alpha Turbo	1147500	None	98.69bhp@5500rpm	None	True	None	None	True	Driver	False	None	None	True	True	True	True	None	False	False	3	False	1550 mm	True	None	False	None	None	None	4	True	16 Inch	None	False	None	None	None	None	True	Front &amp; Rear	37 Litres	BS VI 2.0	None	None	FWD	True	None	None	195/60 R16	True	None	True	True	None	True	True	True	True	Android Auto, Apple CarPlay	True	None	10.38 s	None	None	True	None	None	None	True	None	1015-1030 kg	True	60:40 Split	True	None	None	None	4.9 m	None	True	True	None	None	None	True	False	None	False	None	None	None	6	True	None	True	True	True	2	None	None	None	None	True	None	False	False	None	None	True	None	True	True	None	With Storage	None	True	41.30 s	True	None	False	None	None	180  kmph	None	Electric	True	Manual	None	True	Rear twist beam	False	None	Front Only	None	Front &amp; Rear	True	True	False	None	None	None	True	None	True	None	None	True	None	True	None	False	None	None	998 cc	Tilt & Telescopic	None	True	None	MacPherson Strut suspension	None	None	None	Petrol	None	True	None	None	None	None	True	None	5	True	147.6Nm@2000-4500rpm	True	False	None	True	9 Inch	5-Speed	None	None	None	True	True	None	Shark Fin	None	True	None	Driver and Passenger	None	False	True	False	True	None	Radial Tubeless	True	None	3995 mm	True	308 Litres	True	True	True	None	None	True	None	False	True	None	False	True	Powered &amp; Folding	True	False	True	True	None	False	None	None	None	None	1480 kg	None	True	True	None	10.38 s	None	None	True	4	26.23 s	True	None	True	True	With Guidedlines	None	True	16 Inch	21.5 kmpl	None	Drum	1.0L Turbo Boosterjet	None	None	None	None	2520 mm	None	Disc	SmartPlay Pro Plus Touch Screen Audio, ARKAMYS Premium Sound System, Android Auto and Apple CarPlay (Wireless), Onboard Voice Assistant (Wake-up through (Hi Suzuki) with Barge-in feature), Multi Information Display (TFT Color)	True	True	None	None	Rear	Front &amp; Rear	False	False	Fabric	1765 mm	True	5	None	None
Hyundai i20 Magna	Hyundai i20 Magna	774800	None	82bhp@6000rpm	None	True	None	None	None	None	None	None	None	None	None	None	False	None	None	None	4	None	1505 mm	None	True	None	None	15 Inch	None	4	True	None	None	True	None	None	None	None	True	Front &amp; Rear	37 Litres	BS VI 2.0	None	None	FWD	False	None	None	185/65 R15	True	None	None	True	None	True	True	True	True	None	False	None	None	None	False	None	None	None	None	False	None	None	False	None	True	None	None	None	None	None	True	False	None	None	False	True	None	No	None	None	None	None	6	True	None	False	True	None	2	None	None	None	True	True	None	None	False	True	None	True	False	False	True	None	With Storage	None	True	None	None	None	None	None	None	160  kmph	None	Electric	True	Manual	False	False	Rear twist beam	None	None	Front Only	True	Front &amp; Rear	True	True	None	None	None	None	False	None	True	None	None	True	True	None	False	None	None	None	1197 cc	Tilt & telescopic	None	None	None	MacPherson Strut suspension	None	None	None	Petrol	False	True	None	None	None	False	False	None	5	None	114.7Nm@4200rpm	True	None	No	None	8 inch	5-Speed	None	True	None	True	True	None	Shark Fin	None	True	None	Driver and Passenger	True	None	None	True	False	None	Tubeless	None	None	3995 mm	True	None	True	False	False	None	None	None	False	None	True	None	None	None	Powered	True	None	None	None	None	None	None	None	None	None	None	None	True	False	None	None	None	None	False	4	None	True	Manual	False	True	False	None	True	None	16 kmpl	None	Drum	1.2 l Kappa	None	None	None	False	2580 mm	None	Disc	Wireless Andriod Auto/Apple CarPlay	True	True	Gas Type	None	Rear	Front &amp; Rear	None	None	Fabric	1775 mm	False	5	None	True
